"","X","sid","MTLD","HDD","types","tokens","TTR","len_sentence","condition","video","label","age","gender","ethnicity","english","num_lang","parent_ed","Exclude","Comments","Condition"
"1",0,"090618_6",28.1142823584684,0.806847198295734,125,245,0.510204081632653,3.95161290322581,"con","Warneken","2cB",0.322994128833333,"F",NA,"100","1",NA,"N","","Science Video"
"2",1,"101118_4",23.2645278891724,0.685099194597477,91,274,0.332116788321168,4.08955223880597,"exp","color","2eC",0.172309197833334,"F","Asian","90-95","2","6","N","","Activity Video"
"3",2,"101118_5",11.6021969399765,0.585260929852624,70,240,0.291666666666667,3.80952380952381,"con","Feigenson","1cB",-0.504403131166667,"M","Asian","100","1","6","N","","Science Video"
"4",3,"121317_1",22.6494657696874,0.735967995226378,91,191,0.476439790575916,2.74285714285714,"con","Hamlin","1cA",-0.211252446166666,"F","White/Hispanic","90-95","2","4","N","Emily, I am not sure if we should add this participant or not. She went off the mat a few times but still was paying attention to the mom","Science Video"
"5",4,"101218_1",14.8642533936652,0.704278420004379,91,219,0.415525114155251,3.91071428571429,"con","Lany","2cA",0.265459882833333,"F","Asian","100","1","4","N","","Science Video"
"6",5,"113018_1",16.1739766081871,0.574583196412911,76,299,0.254180602006689,4.671875,"exp","big or small","1eB",-0.181115460166666,"M","White","100",NA,"4","N","","Activity Video"
"7",6,"110218_4",28.8772912423625,0.679761250521234,89,228,0.390350877192982,3.16666666666667,"exp","puzzle","1eC",-0.348238747166667,"F","White & Black or African American","100","1","3","N","","Activity Video"
"8",7,"082918_1",37.2780342928601,0.752814732953328,122,313,0.389776357827476,5.21666666666667,"exp","puzzle","1eC",-0.0386497061666666,"F","White","100","1","4","N",NA,"Activity Video"
"9",8,"110818_5",17.6273199703044,0.605644722154156,36,55,0.654545454545455,4,"con","Lany","2cA",0.328473580833333,"M","Other","100","2","6","N","","Science Video"
"10",9,"083018_6",29.61802413273,0.761959746290407,83,195,0.425641025641026,3.76923076923077,"con","Hamlin","1cA",-0.0989236791666666,"M","White","100","1","6","N",NA,"Science Video"
"11",10,"110918_2",30.8372354373478,0.716128680748153,57,96,0.59375,4.36363636363636,"con","Adolph","2cC",0.0873776908333335,"F","Irish/ Indian","100","1","4","N","","Science Video"
"12",11,"110918_3",30.1666666666667,0.724303227492009,120,362,0.331491712707182,4.06741573033708,"exp","give_me_toy","1eA",-0.0194716241666666,"M","Asian","90-95","2","6","N","","Activity Video"
"13",12,"091118_8",24.0222841225627,0.747173322551994,101,223,0.452914798206278,4.07272727272727,"con","Hamlin","1cA",-0.0852250491666666,"M","White","75","2","4","N","","Science Video"
"14",13,"110218_8",10.5757575757576,0.545775508653332,79,346,0.228323699421965,3.32380952380952,"exp","big or small","1eB",-0.219471624166667,"M","White","50","3","3","N","","Activity Video"
"15",14,"090418_3",14.4097451917187,0.714038834874147,82,261,0.314176245210728,3.32911392405063,"con","Lany","2cA",0.213405087833333,"F","Asian","100","3","6","N","","Science Video"
"16",15,"090418_2",34.608314479638,0.725266789618826,92,275,0.334545454545455,4.58333333333333,"exp","color","2eC",0.257240704833333,"M","White","75","3","6","N","","Activity Video"
"17",16,"091818_1",22.5124881014411,0.762426843551013,106,226,0.469026548672566,4.56,"con","Adolph","2cC",0.122994128833333,"F","White","100","1","4","N","","Science Video"
"18",17,"102618_5",20.4586856941508,0.641340320189052,92,271,0.339483394833948,2.85263157894737,"exp","give_me_toy","1eA",-0.364677103166666,"F",NA,"100",NA,NA,"N","","Activity Video"
"19",18,"110918_6",51.2772988505747,0.773728899814918,62,87,0.71264367816092,4.04545454545455,"exp","big or small","1eB",-0.0907045011666665,"M",NA,"75",NA,NA,"N","","Activity Video"
"20",19,"091118_3",38.3671941830624,0.791945305723214,130,265,0.490566037735849,5.40816326530612,"con","Adolph","2cC",0.303816046833334,"M","White","100","1","6","N","","Science Video"
"21",20,"102518_6",20.2309523809524,0.671991676467997,88,292,0.301369863013699,4.7258064516129,"exp","color","2eC",0.0106653618333334,NA,NA,"75","2",NA,"N","","Activity Video"
"22",21,"083018_1",22.2646129541864,0.692022316560299,64,142,0.450704225352113,3.73684210526316,"con","Hamlin","1cA",-0.381115460166667,"M","White & Asian","75","2","6","N",NA,"Science Video"
"23",22,"110918_5",20.75,0.702929185343849,85,165,0.515151515151515,3.68888888888889,"con","Adolph","2cC",0.177788649833333,"M","White","75","2","4","N","","Science Video"
"24",23,"110818_3",23.5015486725664,0.725420027742483,68,111,0.612612612612613,3.46875,"exp","puzzle","1eC",-0.178375734166667,"M","White","90-95","2","4","N","","Activity Video"
"25",24,"110918_4",10.1886428982174,0.585231261969424,36,62,0.580645161290323,4.13333333333333,"exp","give_me_toy","1eA",-0.167416830166667,"F","Mexican/Indian","75","3","6","N","","Activity Video"
"26",25,"092018_5",30.1785714285714,0.773554147210924,105,194,0.541237113402062,3.48214285714286,"con","Adolph","2cC",0.281898238833334,"F","Asian/White","90-95","2","4","N","","Science Video"
"27",26,"092018_4",21.3590909090909,0.740633235339507,76,127,0.598425196850394,2.95348837209302,"con","Feigenson","1cB",-0.181115460166666,"F","White","100","1","4","N","","Science Video"
"28",27,"101718_2",16.7543352601156,0.516321507862698,52,170,0.305882352941176,4.35897435897436,"exp","color","2eC",0.246281800833333,"M","Puerto Rican","100","1","6","N","","Activity Video"
"29",28,"113018_2",16.672574836822,0.716846950775277,103,284,0.362676056338028,3.31395348837209,"con","Warneken","2cB",0.298336594833333,"M","White","90-95","2","4","N","","Science Video"
"30",29,"111517_3",29.1448647469726,0.656878153800421,104,353,0.294617563739377,5.34848484848485,"exp","big_small",NA,0.0764187868333335,"F","White","100","1","4","N","fussy. By the door a lot of the time","Activity Video"
"31",30,"111517_2",20.458441999688,0.697080177832467,99,313,0.31629392971246,4.07792207792208,"exp","give_me_toy","1eA",0.0462818008333334,"F","N/A","100","1","N/A","N","","Activity Video"
"32",31,"022619_1",7.7,0.57106085189626,39,75,0.52,3.85,"con","Feigenson","1cB",-0.0797455971666665,"F","White","100","2","6","N","","Science Video"
"33",32,"102818_1",16.1237596471885,0.552947278361092,52,155,0.335483870967742,4.42857142857143,"exp","color","2eC",0.109295498833333,"F","White","100","1",NA,"N","","Activity Video"
"34",33,"091118_4",21.1215639810427,0.679298563449443,89,219,0.406392694063927,3.04166666666667,"con","Gopnik","1cC",-0.487964775166666,"F","White","100","1","3","N","","Science Video"
"35",34,"120117_2",13.9810960281549,0.593977603725099,74,211,0.350710900473934,4.75,"exp","big or small","1eB",-0.353718199166666,"M","Asian","90-95","2","6","N","","Activity Video"
"36",35,"102618_2",18.807757764856,0.724762742772439,103,210,0.49047619047619,2.67088607594937,"con","Gopnik","1cC",-0.0413894321666666,"M","White","75","2","6","N","","Science Video"
"37",36,"110218_9",19.3600462241873,0.58563714421955,72,250,0.288,3.35064935064935,"exp","orchestra","2eB",0.221624265833333,"M","Asian","75","3","6","N","","Activity Video"
"38",37,"090618_4",10.2727272727273,0.641424158059905,54,98,0.551020408163265,2.26,"con","Feigenson","1cB",-0.279745597166666,"M","Asian","75","3","6","N","","Science Video"
"39",38,"101818_1",16.4612068965517,0.632679552979729,93,335,0.277611940298507,3.80681818181818,"exp","give_me_toy","1eA",-0.194814090166667,"M","White","100","1","6","N","","Activity Video"
"40",39,"101118_2",6.07986111111111,0.607835308005889,85,206,0.412621359223301,2.94285714285714,"con","Feigenson","1cB",-0.394814090166667,"F","Middle Eastern","100","1","4","N","","Science Video"
"41",40,"110818_2",12.5574433656958,0.558815975172541,44,83,0.530120481927711,2.96428571428571,"con","Lany","2cA",0.207925635833333,"M",NA,"90-95","1",NA,"N","","Science Video"
"42",41,"101218_6",12.8802631578947,0.492398195344568,53,251,0.211155378486056,4.25423728813559,"exp","big_small","2eA",0.290117416833333,"F","Asian","100","2","6","N","","Activity Video"
"43",42,"101218_7",26.7267080745342,0.750498660000934,80,130,0.615384615384615,3.33333333333333,"con","Gopnik","1cC",-0.0824853231666665,"F","White","100","1","6","N","","Science Video"
"44",43,"112217_2",31.4762784090909,0.749407718220065,132,323,0.408668730650155,5.296875,"exp","big_small","2eA",0.0243639918333334,"F","White","90-95","2","5","N","","Activity Video"
"45",44,"110218_2",28.625,0.744711868806418,109,229,0.475982532751092,4.08928571428571,"exp","orchestra","2eB",0.00244618383333339,"F","White","100","1","6","N","","Activity Video"
"46",45,"110218_3",28.0384615384615,0.66593875708349,54,108,0.5,4.32,"exp","orchestra","2eB",0.155870841833333,"M","White","90-95","2","6","N","","Activity Video"
"47",46,"091818_3",24.6601265822785,0.646304075325838,70,140,0.5,3.61538461538462,"exp","puzzle","1eC",-0.164677103166667,"M","Other","75","2","4","N","","Activity Video"
"48",47,"091818_2",23.3189033189033,0.630020362170994,68,176,0.386363636363636,4.51282051282051,"exp","big or small","1eB",-0.192074364166666,"F","Asian","75","3","6","N","","Activity Video"
"49",48,"113018_4",21.7262277951933,0.658588068644541,81,191,0.424083769633508,2.95384615384615,"exp","puzzle","1eC",-0.219471624166667,"F","White","100","2","3","N","","Activity Video"
"50",49,"091118_1",33.0870147255689,0.784719420762662,128,296,0.432432432432432,4.22857142857143,"con","Gopnik","1cC",-0.0715264191666665,"M","White","100","1","6","N","","Science Video"
"51",50,"083018_4",23.5095675161884,0.714369078382982,55,118,0.466101694915254,3.27027027027027,"con","Warneken","2cB",0.0353228968333335,"M","Decline to state","90-95","1","4","N",NA,"Science Video"
"52",51,"011118_1",15.798741129061,0.608576847782815,48,85,0.564705882352941,3.4,"con","Lany","2cA",0.0161448138333333,"F","White","100","1","6","N","the ipad didn't record","Science Video"
"53",52,"102518_3",22.7610169635717,0.76804637995391,126,318,0.39622641509434,4.35616438356164,"con","Hamlin","1cA",-0.164677103166667,"M","Mixed","100","2","4","N","sibling","Science Video"
"54",53,"101218_2",29.2012649524404,0.769542368012655,93,194,0.479381443298969,4.40909090909091,"con","Adolph","2cC",0.221624265833333,"M","White","75","2","6","N","","Science Video"
"55",54,"101218_3",17.2526196984758,0.724185697302302,105,237,0.443037974683544,4.38888888888889,"con","Gopnik","1cC",-0.0413894321666666,"M","Asian &White","100","1","4","N","","Science Video"
"56",55,"110218_7",12.5223684210526,0.681193386847876,92,248,0.370967741935484,5.39130434782609,"exp","orchestra","2eB",0.246281800833333,"M","Asian","50","2",NA,"N","","Activity Video"
"57",56,"032219_1",40.2883211678832,0.744451846660843,74,127,0.582677165354331,3.02272727272727,"con","Warneken","2cB",0.0325831698333334,"M","White","100","1","6","N","","Science Video"
"58",57,"090518_1",20.3055555555556,0.690749746711615,81,172,0.47093023255814,3.30769230769231,"con","Adolph","2cC",0.202446183833333,"F","Asian","75","1","4","N","","Science Video"
"59",58,"090618_5",27.2490974729242,0.792682993325598,123,255,0.482352941176471,3.984375,"con","Feigenson","1cB",-0.367416830166666,"F","White","100","1","4","N","","Science Video"
"60",59,"101818_4",14.3949438202247,0.624563811188101,86,243,0.353909465020576,4.26315789473684,"exp","big or small","1eB",-0.392074364166667,"M","Hispanic","50","2","6","N","","Activity Video"
"61",60,"101818_5",19.2625566636446,0.738760636724444,91,202,0.450495049504951,3.64285714285714,"exp","puzzle","1eC",-0.189334638166667,"F","White","90-95","1",NA,"N","","Activity Video"
"62",61,"110818_1",20.0274725274725,0.590278249620004,74,270,0.274074074074074,4.6551724137931,"exp","big or small","1eB",-0.140019569166667,"F","White","100","1","4","N","","Activity Video"
"63",62,"101218_5",17.207729468599,0.70296529167767,102,299,0.341137123745819,3.39772727272727,"exp","color","2eC",0.213405087833333,"M","Other","90-95","2","4","N","","Activity Video"
"64",63,"101218_4",15.3892314990512,0.626689639603189,90,267,0.337078651685393,4.171875,"exp","big_small","2eA",0.243542074833333,"M",NA,"100","1",NA,"N","","Activity Video"
"65",64,"110218_1",3.8125,0.342471714280515,41,183,0.224043715846995,3.8936170212766,"exp","orchestra","2eB",0.306555772833333,"F","White & South Indian","100","1","6","N","","Activity Video"
"66",65,"110418_3",13.11866359447,0.582144220878496,92,383,0.240208877284595,4.19565217391304,"exp","give_me_toy","1eA",-0.123581213166666,NA,NA,"100",NA,NA,"N","","Activity Video"
"67",66,"090618_3",10.1145518229581,0.63365476286592,59,120,0.491666666666667,2.23636363636364,"con","Warneken","2cB",0.142172211833334,"M","Asian","75","3","6","N","","Science Video"
"68",67,"101818_2",20.4576901659428,0.674306577555931,120,411,0.291970802919708,6.13432835820895,"exp","big_small","2eA",0.196966731833333,"F","White","100","1",NA,"N","","Activity Video"
"69",68,"091318_2",20.7513289829699,0.6736493402191,85,221,0.384615384615385,4.72340425531915,"exp","give_me_toy","1eA",-0.224951076166667,"M","Asian","75","1","4","N","","Activity Video"
"70",69,"110818_6",9.81818181818182,0.638926943480903,65,117,0.555555555555556,2.65909090909091,"con","Warneken","2cB",0.377788649833333,"F","White","100","1","3","N","","Science Video"
"71",70,"090418_6",23.0866420437058,0.715662899344058,82,203,0.403940886699507,3.12307692307692,"con","Warneken","2cB",0.424363991833334,"M",NA,"75","2","5","N","","Science Video"
"72",71,"022619_3",24.9558212058212,0.717319334976862,98,216,0.453703703703704,4.23076923076923,"con","Lany","2cA",0.344911937833333,"M","White","100","1","4","N","","Science Video"
"73",72,"022619_2",13,0.593102620913305,52,116,0.448275862068966,3.54545454545455,"exp","color","2eC",0.265459882833333,"M","Native Hawaiian or other pacific islander","90-95","2","4","N","","Activity Video"
"74",73,"091818_4",10.4156862745098,0.637364384161539,75,166,0.451807228915663,3.77272727272727,"con","Hamlin","1cA",-0.389334638166666,"M","White","100","1","6","N","","Science Video"
"75",74,"102818_2",10.5,0.609170323383053,39,63,0.619047619047619,3,"exp","orchestra","2eB",0.446281800833333,"M","Asian","75","3",NA,"N","","Activity Video"
"76",75,"091118_7",29.2362292879534,0.722801755822457,97,213,0.455399061032864,4.26,"con","Gopnik","1cC",-0.120841487166667,"M","White","100","1","6","N","","Science Video"
"77",76,"102618_1",25.0890657084189,0.621557115195941,81,306,0.264705882352941,5.15,"exp","big_small","2eA",0.0791585128333334,"F","White","90-95","2","6","N","","Activity Video"
"78",77,"102518_5",14.6106577643622,0.689237804756646,74,170,0.435294117647059,3.62,"con","Feigenson","1cB",-0.411252446166667,"F","White","75","3","6","N","","Science Video"
"79",78,"102518_4",55.5028424720337,0.819783183246463,119,203,0.586206896551724,3.39344262295082,"con","Hamlin","1cA",-0.189334638166667,"M","Black","100","1","4","N","","Science Video"
"80",79,"113018_3",21.8214285714286,0.751707089966136,77,141,0.546099290780142,3.20454545454545,"exp","puzzle","1eC",-0.230430528166667,"M","Asian","90-95","3","6","N","","Activity Video"
"81",80,"092018_6",18.7098296269487,0.709636355592288,113,316,0.357594936708861,6.07692307692308,"exp","big_small","2eA",0.465459882833333,"F","Mexican, Spanish, Basque, Yaqui","75","2","6","N","","Activity Video"
"82",81,"101718_1",16.2996750232126,0.638775579376027,91,322,0.282608695652174,5.27868852459016,"con","Gopnik","1cC",-0.167416830166667,"M","White","100","1","4","N","","Science Video"
"83",82,"090618_1",50.2223766972004,0.808504352585266,155,357,0.434173669467787,5.1,"con","Lany","2cA",0.0079256358333335,"M","White & Asian","100","2","6","N","","Science Video"
"84",83,"110418_4",10.8,0.595332590061382,37,59,0.627118644067797,2.86363636363636,"exp","orchestra","2eB",0.292857142833334,"M","Asian","90-95","2","4","N","","Activity Video"
