"","X","sid","age","AA","EL","RR","video","gender","parent_ed","condition","types","tokens","TTR","MTLD"
"1",1,"110416_08",-0.66,0.118937389770723,0.531084656084656,1.20568783068783,"a_recoger","F",-1.25211318124804,"con",37,62,0.596774193548387,27.3552631578947
"2",2,"042416_05",-0.44,-0.131062610229277,-0.0939153439153442,-0.919312169312169,"ruidos","F",0.894366558034317,"exp",44,120,0.366666666666667,10.6287878787879
"3",3,"101416_08",-0.6,0.743937389770723,0.281084656084656,0.830687830687831,"a_recoger","F",-1.25211318124804,"exp",46,181,0.25414364640884,15.0833333333333
"4",4,"101416_03",-0.34,-0.256062610229277,0.281084656084656,0.455687830687831,"ruidos","F",0.894366558034317,"exp",65,273,0.238095238095238,16.2890307848444
"5",5,"101416_05",-0.65,-0.756062610229277,0.156084656084656,-1.04431216931217,"a_recoger","F",-1.9676064276755,"exp",48,195,0.246153846153846,7.31449981763321
"6",6,"012017_05",-0.58,0.368937389770723,0.531084656084656,0.205687830687831,"ruidos","F",0.894366558034317,"exp",79,315,0.250793650793651,16.3160232747294
"7",7,"120916_05",0.07,0.243937389770723,0.531084656084656,-0.669312169312169,"give_me_toy","M",0.894366558034317,"con",70,172,0.406976744186047,18.70551558753
"8",8,"111716_07",0.32,-0.506062610229277,-0.343915343915344,0.955687830687831,"mis_jugetes","M",0.894366558034317,"exp",64,328,0.195121951219512,17.2631578947368
"9",9,"060516_02",0.45,-0.506062610229277,0.281084656084656,-0.419312169312169,"orchestra","M",-0.536619934820591,"exp",32,55,0.581818181818182,24.3463302752294
"10",10,"032817_01",0.12,-2.96439594356261,-2.89748677248677,0.705687830687831,"give_me_toy","F",-0.536619934820591,"exp",72,276,0.260869565217391,15.1295087910096
"11",11,"060516_03",-0.14,0.868937389770723,0.531084656084656,1.33068783068783,"give_me_toy","F",-0.536619934820591,"con",78,152,0.513157894736842,44.6833569516612
"12",12,"052317_03",-0.07,-2.00606261022928,-2.59391534391534,0.955687830687831,"give_me_toy","F",0.894366558034317,"exp",62,248,0.25,14.7525183434896
"13",13,"121516_03",0.6,0.618937389770723,0.281084656084656,-0.544312169312169,"orchestra","F",0.894366558034317,"exp",57,133,0.428571428571429,19.7307008847571
"14",14,"050116_05",0.67,-1.84534832451499,-1.34391534391534,-0.669312169312169,"orchestra","F",0.894366558034317,"exp",50,172,0.290697674418605,9.1578947368421
"15",15,"111716_01",0.39,0.868937389770723,0.531084656084656,0.330687830687831,"orchestra","F",-0.536619934820591,"con",61,211,0.289099526066351,6.52699001700956
