"","sid","age","video","gender","parent_ed","condition","types","tokens","TTR","MTLD","Age","Condition"
"1","090618_6",0.32,"Warneken","F",NA,"con",125,245,0.510204081632653,28.1142823584684,1.84,"Control"
"2","101118_4",0.17,"color","F",0.938900512020195,"exp",91,274,0.332116788321168,23.2645278891724,1.69,"Video"
"3","101118_5",-0.5,"Feigenson","M",0.938900512020195,"con",98,315,0.311111111111111,14.5249250374813,1.01,"Control"
"4","121317_1",-0.21,"Hamlin","F",-0.887453908621828,"con",91,191,0.476439790575916,22.6494657696874,1.3,"Control"
"5","101218_1",0.27,"Lany","F",-0.887453908621828,"con",91,219,0.415525114155251,14.8642533936652,1.78,"Control"
"6","113018_1",-0.18,"big or small","M",-0.887453908621828,"exp",76,299,0.254180602006689,16.1739766081871,1.33,"Video"
"7","110218_4",-0.35,"puzzle","F",-1.80063111894284,"exp",89,228,0.390350877192982,28.8772912423625,1.17,"Video"
"8","082918_1",-0.04,"puzzle","F",-0.887453908621828,"exp",122,313,0.389776357827476,37.2780342928601,1.48,"Video"
"9","110818_5",0.33,"Lany","M",0.938900512020195,"con",70,146,0.479452054794521,14.9194010416667,1.84,"Control"
"10","083018_6",-0.1,"Hamlin","M",0.938900512020195,"con",83,195,0.425641025641026,29.61802413273,1.42,"Control"
"11","110918_2",0.09,"Adolph","F",-0.887453908621828,"con",117,244,0.479508196721311,46.9931718155792,1.6,"Control"
"12","110918_3",-0.02,"give_me_toy","M",0.938900512020195,"exp",120,363,0.330578512396694,30.25,1.5,"Video"
"13","091118_8",-0.09,"Hamlin","M",-0.887453908621828,"con",101,223,0.452914798206278,24.0222841225627,1.43,"Control"
"14","110218_8",-0.22,"big or small","M",-1.80063111894284,"exp",79,346,0.228323699421965,10.5757575757576,1.3,"Video"
"15","090418_3",0.21,"Lany","F",0.938900512020195,"con",82,261,0.314176245210728,14.4097451917187,1.73,"Control"
"16","090418_2",0.26,"color","M",0.938900512020195,"exp",92,275,0.334545454545455,34.608314479638,1.77,"Video"
"17","091818_1",0.12,"Adolph","F",-0.887453908621828,"con",106,226,0.469026548672566,22.5124881014411,1.64,"Control"
"18","102618_5",-0.36,"give_me_toy","F",NA,"exp",91,271,0.335793357933579,20.4586856941508,1.15,"Video"
"19","110918_6",-0.09,"big or small","M",NA,"exp",78,129,0.604651162790698,38.5619997158149,1.42,"Video"
"20","091118_3",0.3,"Adolph","M",0.938900512020195,"con",129,265,0.486792452830189,38.3671941830624,1.82,"Control"
"21","102518_6",0.01,"color","",NA,"exp",88,292,0.301369863013699,20.2309523809524,1.53,"Video"
"22","083018_1",-0.38,"Hamlin","M",0.938900512020195,"con",64,142,0.450704225352113,22.2646129541864,1.13,"Control"
"23","110918_5",0.18,"Adolph","M",-0.887453908621828,"con",84,166,0.506024096385542,18.5555555555556,1.69,"Control"
"24","110818_3",-0.18,"puzzle","M",-0.887453908621828,"exp",115,287,0.400696864111498,31.102400508711,1.34,"Video"
"25","110918_4",-0.17,"give_me_toy","F",0.938900512020195,"exp",73,316,0.231012658227848,10.869039423476,1.35,"Video"
"26","092018_5",0.28,"Adolph","F",-0.887453908621828,"con",104,194,0.536082474226804,28.7113764044944,1.8,"Control"
"27","092018_4",-0.18,"Feigenson","F",-0.887453908621828,"con",76,127,0.598425196850394,21.3590909090909,1.33,"Control"
"28","101718_2",0.25,"color","M",0.938900512020195,"exp",52,170,0.305882352941176,16.7543352601156,1.76,"Video"
"29","113018_2",0.3,"Warneken","M",-0.887453908621828,"con",103,284,0.362676056338028,16.672574836822,1.81,"Control"
"30","111517_3",0.08,"big_small","F",-0.887453908621828,"exp",104,353,0.294617563739377,29.1448647469726,1.59,"Video"
"31","111517_2",0.05,"give_me_toy","F",NA,"exp",99,313,0.31629392971246,20.458441999688,1.56,"Video"
"32","022619_1",-0.08,"Feigenson","F",0.938900512020195,"con",62,135,0.459259259259259,9.04166666666667,1.44,"Control"
"33","102818_1",0.11,"color","F",NA,"exp",52,155,0.335483870967742,16.1237596471885,1.62,"Video"
"34","091118_4",-0.49,"Gopnik","F",-1.80063111894284,"con",89,219,0.406392694063927,21.1215639810427,1.03,"Control"
"35","120117_2",-0.35,"big or small","M",0.938900512020195,"exp",73,211,0.345971563981043,13.9810960281549,1.16,"Video"
"36","102618_2",-0.04,"Gopnik","M",0.938900512020195,"con",100,221,0.452488687782805,15.1146985962015,1.47,"Control"
"37","110218_9",0.22,"orchestra","M",0.938900512020195,"exp",72,250,0.288,19.3600462241873,1.74,"Video"
"38","090618_4",-0.28,"Feigenson","M",0.938900512020195,"con",54,100,0.54,9.58333333333333,1.24,"Control"
"39","101818_1",-0.19,"give_me_toy","M",0.938900512020195,"exp",93,335,0.277611940298507,16.4612068965517,1.32,"Video"
"40","101118_2",-0.39,"Feigenson","F",-0.887453908621828,"con",85,221,0.384615384615385,5.33226744186047,1.12,"Control"
"41","110818_2",0.21,"Lany","M",NA,"con",44,83,0.530120481927711,12.5574433656958,1.72,"Control"
"42","101218_6",0.29,"big_small","F",0.938900512020195,"exp",53,251,0.211155378486056,12.8802631578947,1.81,"Video"
"43","101218_7",-0.08,"Gopnik","F",0.938900512020195,"con",80,130,0.615384615384615,26.7267080745342,1.43,"Control"
"44","112217_2",0.02,"big_small","F",0.0257233016991834,"exp",133,335,0.397014925373134,29.8205280685062,1.54,"Video"
"45","110218_2",0,"orchestra","F",0.938900512020195,"exp",109,229,0.475982532751092,28.625,1.52,"Video"
"46","110218_3",0.16,"orchestra","M",0.938900512020195,"exp",54,108,0.5,28.0384615384615,1.67,"Video"
"47","091818_3",-0.16,"puzzle","M",-0.887453908621828,"exp",70,140,0.5,24.6601265822785,1.35,"Video"
"48","091818_2",-0.19,"big or small","F",0.938900512020195,"exp",67,176,0.380681818181818,23.0777122339061,1.32,"Video"
"49","113018_4",-0.22,"puzzle","F",-1.80063111894284,"exp",81,191,0.424083769633508,21.7262277951933,1.3,"Video"
"50","091118_1",-0.07,"Gopnik","M",0.938900512020195,"con",128,299,0.42809364548495,27.3154992548435,1.44,"Control"
"51","083018_4",0.04,"Warneken","M",-0.887453908621828,"con",55,118,0.466101694915254,23.5095675161884,1.55,"Control"
"52","011118_1",0.02,"Lany","F",0.938900512020195,"con",48,85,0.564705882352941,15.798741129061,1.53,"Control"
"53","102518_3",-0.16,"Hamlin","M",-0.887453908621828,"con",126,318,0.39622641509434,22.7610169635717,1.35,"Control"
"54","101218_2",0.22,"Adolph","M",0.938900512020195,"con",93,194,0.479381443298969,29.2012649524404,1.74,"Control"
"55","101218_3",-0.04,"Gopnik","M",-0.887453908621828,"con",105,237,0.443037974683544,17.2526196984758,1.47,"Control"
"56","110218_7",0.25,"orchestra","M",NA,"exp",92,248,0.370967741935484,12.5223684210526,1.76,"Video"
"57","032219_1",0.03,"Warneken","M",0.938900512020195,"con",74,127,0.582677165354331,40.2883211678832,1.55,"Control"
"58","090518_1",0.2,"Adolph","F",-0.887453908621828,"con",81,172,0.47093023255814,20.3055555555556,1.72,"Control"
"59","090618_5",-0.37,"Feigenson","F",-0.887453908621828,"con",123,255,0.482352941176471,27.2490974729242,1.15,"Control"
"60","101818_4",-0.39,"big or small","M",0.938900512020195,"exp",86,243,0.353909465020576,14.3949438202247,1.12,"Video"
"61","101818_5",-0.19,"puzzle","F",NA,"exp",90,202,0.445544554455446,19.2625566636446,1.33,"Video"
"62","110818_1",-0.14,"big or small","F",-0.887453908621828,"exp",74,270,0.274074074074074,20.0274725274725,1.38,"Video"
"63","101218_5",0.21,"color","M",-0.887453908621828,"exp",102,299,0.341137123745819,17.207729468599,1.73,"Video"
"64","101218_4",0.24,"big_small","M",NA,"exp",90,267,0.337078651685393,15.3892314990512,1.76,"Video"
"65","110218_1",0.31,"orchestra","F",0.938900512020195,"exp",41,183,0.224043715846995,3.8125,1.82,"Video"
"66","110418_3",-0.12,"give_me_toy","",NA,"exp",93,386,0.240932642487047,12.1681329423265,1.39,"Video"
"67","090618_3",0.14,"Warneken","M",0.938900512020195,"con",59,120,0.491666666666667,10.1145518229581,1.66,"Control"
"68","101818_2",0.2,"big_small","F",NA,"exp",120,411,0.291970802919708,20.4576901659428,1.71,"Video"
"69","091318_2",-0.22,"give_me_toy","M",-0.887453908621828,"exp",85,221,0.384615384615385,20.7513289829699,1.29,"Video"
"70","110818_6",0.38,"Warneken","F",-1.80063111894284,"con",67,123,0.544715447154472,9.12362637362637,1.89,"Control"
"71","090418_6",0.42,"Warneken","M",0.0257233016991834,"con",82,203,0.403940886699507,23.0866420437058,1.94,"Control"
"72","022619_3",0.34,"Lany","M",-0.887453908621828,"con",98,216,0.453703703703704,24.9558212058212,1.86,"Control"
"73","022619_2",0.27,"color","M",-0.887453908621828,"exp",52,116,0.448275862068966,13,1.78,"Video"
"74","091818_4",-0.39,"Hamlin","M",0.938900512020195,"con",75,166,0.451807228915663,10.4156862745098,1.13,"Control"
"75","102818_2",0.45,"orchestra","M",NA,"exp",39,63,0.619047619047619,10.5,1.96,"Video"
"76","091118_7",-0.12,"Gopnik","M",0.938900512020195,"con",96,213,0.450704225352113,29.2362292879534,1.39,"Control"
"77","102618_1",0.08,"big_small","F",0.938900512020195,"exp",81,306,0.264705882352941,25.0890657084189,1.59,"Video"
"78","102518_5",-0.41,"Feigenson","F",0.938900512020195,"con",76,176,0.431818181818182,15.9902220645097,1.1,"Control"
"79","102518_4",-0.19,"Hamlin","M",-0.887453908621828,"con",119,203,0.586206896551724,55.5028424720337,1.33,"Control"
"80","113018_3",-0.23,"puzzle","M",0.938900512020195,"exp",77,141,0.546099290780142,21.8214285714286,1.28,"Video"
"81","092018_6",0.47,"big_small","F",0.938900512020195,"exp",112,316,0.354430379746835,18.7098296269487,1.98,"Video"
"82","101718_1",-0.17,"Gopnik","M",-0.887453908621828,"con",91,322,0.282608695652174,16.2996750232126,1.35,"Control"
"83","090618_1",0.01,"Lany","M",0.938900512020195,"con",155,357,0.434173669467787,50.2223766972004,1.52,"Control"
"84","110418_4",0.29,"orchestra","M",-0.887453908621828,"exp",37,59,0.627118644067797,10.8,1.81,"Video"
