,SID,age,gender,ethnicity,english,parent_ed,num_lang,Exclude
1,042416_01,0.838356164,F,black/ white/ other,100,6,1,N
2,042416_02,1.638356164,F,asian,100,6,2,N
3,042416_03,0.695890411,M,white,100,6,1,N
4,042416_04,1.230136986,F,asian,75,6,3,N
5,042416_05,0.84109589,F,white,50,6,2,N
6,042716_01,1.38630137,M,asian/white,95,6,2,N
7,050116_01,1.238356164,F,white,50,3,2,N
8,050116_02,1.347945205,F,white,100,6,1,N
9,050116_05,1.942465753,F,asian,95,6,2,N
10,060516_01,1.156164384,F,white,100,6,1,N
11,060516_02,1.726027397,M,asian/white,75,4,2,N
12,060516_03,1.136986301,F,black/african american,100,4,1,N
13,091316_02,1.169863014,F,white,75,6,2,N
14,091316_03,1.054794521,F,white,100,6,1,N
15,091316_04,1.219178082,F,,25,4,2,N
16,091316_05,1.753424658,M,decline,100,2,1,N
17,092216_01,0.967123288,F,white,100,6,1,N
18,092216_03,1.101369863,M,asian/white,100,6,2,N
19,092216_04,0.684931507,F,asian/white,100,3,2,N
20,101416_01,0.868493151,F,white,100,5,1,N
21,101416_02,0.980821918,F,,50,6,2,N
22,101416_03,0.934246575,F,other,95,6,2,N
23,101416_04,0.775342466,M,asian,95,6,2,N
24,101416_05,0.630136986,F,,95,2,1,N
25,101416_07,0.673972603,F,asian,100,3,1,N
26,101416_08,0.679452055,F,,100,3,2,N
27,101416_09,1.117808219,M,asian,95,6,2,N
28,102816_01,0.912328767,F,other,100,2,1,N
29,110416_02,1.868493151,F,white,100,4,1,N
30,110416_03,1.575342466,M,asian,50,6,2,N
31,110416_04,0.975342466,F,white,100,2,1,N
32,110416_05,1.501369863,F,asian,95,4,2,N
33,110416_06,0.832876712,F,white,100,6,1,N
34,110416_07,0.997260274,M,white/filipino,95,6,2,N
35,110416_08,0.619178082,F,white,100,3,1,N
36,111716_01,1.663013699,F,asian/white,100,4,1,N
37,111716_02,1.093150685,F,asian/white,95,6,2,N
38,111716_04,1.791780822,F,white,95,5,2,N
39,111716_06,1.98630137,M,mexican american,95,3,2,N
40,111716_07,1.591780822,M,white,100,6,2,N
41,111716_08,1.783561644,F,middle eastern,95,4,2,N
42,120416_01,1.18630137,F,white,100,4,2,N
43,120416_02,1.964383562,M,white,95,3,1,N
44,120416_03,1.079452055,M,white,75,4,3,N
45,120416_06,1.378082192,F,asian/white,95,4,4,N
46,120916_03,1.542465753,F,mexican/portuguese,25,4,3,N
47,120916_05,1.347945205,M,Black/african american,95,6,2,N
48,121316_01,1.030136986,M,white,75,4,2,N
49,121516_01,1.887671233,F,asian/white,95,6,2,N
50,121516_02,1.950684932,M,white,100,6,1,N
51,121516_03,1.879452055,F,white,100,6,1,N
52,121516_04,2.002739726,F,white,75,6,2,N
53,012017_01,1.556164384,F,white,50,4,2,N
54,012017_03,1.515068493,F,white,100,4,1,N
55,012017_04,1.416438356,F,white,100,4,1,N
56,012017_05,0.698630137,F,asian/white,100,6,1,N
57,012017_06,1.597260274,M,asian,25,6,2,N
58,012017_07,0.961643836,F,hispanic,50,2,2,N
59,032817_01,1.397260274,F,white,95,4,2,N
60,052317_03,1.202739726,F,asian,75,6,2,N
61,102816_02,1.389041096,F,asian,100,4,2,Y
62,102816_03,1.126027397,M,white/filipino,95,6,2,Y
63,031016_1,0.78630137,M,black/white,100,4,2,Y
64,31016_2,0.542465753,M,,95,3,2,Y
65,031716_1,1.55890411,F,white/asian/pacific islander,95,6,2,Y
66,41716_02,1.282191781,F,,75,2,2,Y
67,41716_03,1.506849315,M,asian/white,50,4,2,Y
68,041716_04,1.479452055,F,white,100,4,1,Y
69,51516_01,1.471232877,M,asian,75,6,3,Y
70,51516_02,1.049315068,M,white,100,4,1,Y
71,51516_03,1.64109589,F,white,25,6,2,Y
72,51516_04,1.567123288,F,white,50,4,2,Y
73,60516_04,1.430136986,F,asian,95,4,2,Y
74,60516_05,1.989041096,F,asian,25,6,2,Y
75,061916_02,0.77260274,F,white,100,4,1,Y
76,91316_05,0.947945205,M,asian,95,6,2,Y
77,092216_02,1.334246575,F,white,100,4,2,Y
78,92216_05,1.301369863,F,white/hispanic,100,4,1,Y
79,101416_06,2.621917808,M,white/mexican,75,4,2,Y
80,101416_10,1.131506849,M,white,95,4,2,Y
81,11416_01,2.260273973,M,asian,25,NA,NA,Y
82,111718_03,1.060273973,F,white,50,6,2,Y
83,111718_05,0.887671233,F,asian,50,6,2,Y
84,12416_04,1.15890411,F,asian,50,6,2,Y
85,12416_05,1.060273973,F,black/african american/white,100,6,1,Y
86,12916_01,1.032876712,F,white,50,6,2,Y
87,12916_02,1.191780822,M,asian/white,100,3,1,Y
88,12916_04,1.378082192,F,asian,10,4,2,Y
89,12916_06,0.810958904,F,white,100,6,1,Y
90,121316_02,0.553424658,F,black/african american,100,6,1,Y
91,012017_02,1.728767123,M,asian,25,4,2,Y
92,052317_01,1.394520548,F,white,25,4,2,Y
93,052317_02,1.463013699,M,white/hispanic,95,2,2,Y
94,41716_01,1.21369863,M,asian,95,6,2,Y (check video)
95,42716_02,2.591780822,M,asian,100,6,3,Y-age
96,pilot_2,1.531506849,F,asian,10,4,2,Y-english %
97,pilot_7,1.457534247,F,asian,25,4,3,Y-english %
98,31016_3,1.520547945,F,asian,25,6,2,Y-lang
99,5116_03,0.671232877,F,asian,25,6,2,Y-lang
100,5116_04,2.021917808,F,white/asian,25,6,2,Y-lang
101,40316_1,1.775342466,M,asian,5,4,2,Y-lang also unsure if mic recorded?
102,pilot_1,1.621917808,F,white,75,6,2,Y-pilot
103,pilot_3,0.698630137,F,white,100,6,1,Y-pilot
104,pilot_4,1.780821918,F,white,100,4,1,Y-pilot
105,pilot_5,0.849315068,M,white,100,4,1,Y-pilot
106,pilot_6,1.282191781,M,white,100,6,1,Y-pilot
107,pilot_8,1.142465753,M,white,100,3,1,Y-pilot
108,pilot_9,1.145205479,M,asian,95,6,3,Y-pilot
109,61916_01,1.969863014,,,NA,NA,NA,
