SID,age,gender,ethnicity,english,num_lang,parent_ed,Exclude,Comments,
102617_1,1,F,White/Iranian,90/95,2,4,Y,Pilot,
102617_2,1.452054795,F,white,100,1,4,Y,pilot,
102617_3,1.553424658,F,Asian,100,1,4,Y,pilot,
111517_2,1.561643836,F,N/A,100,1,N/A,N,,
111517_3,1.591780822,F,White,100,1,4,N,fussy. By the door a lot of the time,
111517_1,1.775342466,M,White,100,1,6,Y,wrong pairing of toys and video,
111517_4,1.487671233,F,Asian,25,2,6,Y,"spoke some mandarin, mostly english though",
111617_1,0.953424658,M,White,90-95,2,6,Y,just under 12 months,
111617_2,0.084931507,F,White,100,1,5,Y,was too stressed with her other kids. Stopped before she began watching Kinedu video,
112217_2,1.539726027,F,White,90-95,2,5,N,,
112217_1,1.202739726,M,White/Asian/Egyptian,50,3,6,Y,,
112217_3,1.578082192,M,White,100,1,6,Y,,
112917_1,2.336986301,M,White,100,1,4,Y,four months too old,
113017_1,#VALUE!,M,white,100,1,6,Y,one month too old,
113017_2,1.789041096,M,White,100,1,4,Y,,
120117_2,1.161643836,M,Asian,90-95,2,6,N,,
120117_1,1.550684932,F,Asian/White,90-95,2,4,Y,too distracted by sibling who was coloring,
120117_3,1.082191781,F,White,100,1,4,Y,the adult was not the primary care giver,
120117_4,1.298630137,M,Asian,25,"1 (speaks another language primarily, with only English 25% of time)",6,Y ,b/c language,
120717_1,2.364383562,M,Asian,90-95,2,6,Y,too old by 4 months,
120717_2,1.690410959,M,Asian,75,2,6,Y,too distracted,
120717_3,1.55890411,M,White,100,1,4,Y,too distracted,
121217_1,1.679452055,F,White,100,1,4,Y,too distracted,
121217_2,1.701369863,M,White,75,2,6,Y,chose to speak spanish not english,
121217_3,1.545205479,F,N/A,75,2,4,Y,"farsi, not english",
121317_1,1.304109589,F,White/Hispanic,90-95,2,4,N,"Emily, I am not sure if we should add this participant or not. She went off the mat a few times but still was paying attention to the mom",
121317_2,2.043835616,F,Asian,50,2,1,Y,"too old by one month, and language",
121917_1,1.24109589,M,White,90-95,1,6,Y,too distracted,
121917_2,#VALUE!,N/A,N/A,25,2,N/A,Y,language,
121917_3,1.630136986,F,White,100,1,4,Y,too distracted,
122017_1,1.361643836,M,White,50,3,6,Y,too distracted and language,
011118_1,1.531506849,F,White,100,1,6,N,the ipad didn't record,
011118_2,1.978082192,F,White,90-95,1,4,Y,the ipad didn't record,
011218_1,1.808219178,F,Asian,90-95,3,6,Y,wrong toy,
082918_1,1.476712329,F,White,100,1,4,N,NA,
083018_1,1.134246575,M,White & Asian,75,2,6,N,NA,
083018_4,1.550684932,M,Decline to state,90-95,1,4,N,NA,
083018_6,1.416438356,M,White,100,1,6,N,NA,
083018_2,1.550684932,M,White & Asian,50,2,4,Y,English not first language,
083018_3,1.501369863,F,White,50,2,6,Y,English not first language,
083018_5,1.115068493,M,White,100,1,4,Y,Child did not finish study,
090418_2,1.77260274,M,White,75,3,6,N,,
090418_3,1.728767123,F,Asian,100,3,6,N,,
090418_6,1.939726027,M,NA,75,2,5,N,,
090418_1,1.430136986,F,Asian,50,3,6,Y,,
090418_4,1.964383562,M,NA,100,1,3,Y,,
090418_5,1.920547945,M,NA,50,2,NA,Y,,
090518_1,1.717808219,F,Asian,75,1,4,N,,
090518_2,1.123287671,M,White,50,1,5,Y,Switched to dad who speaks fully English but he didn't watch video,
090618_1,1.523287671,M,White & Asian,100,2,6,N,,
090618_3,1.657534247,M,Asian,75,3,6,N,,
090618_4,1.235616438,M,Asian,75,3,6,N,,
090618_5,1.147945205,F,White,100,1,4,N,,
090618_6,1.838356164,F,NA,100,1,NA,N,,
090618_2,1.005479452,M,White,100,1,6,Y,Video uncodable,
091118_1,1.443835616,M,White,100,1,6,N,,
091118_3,1.819178082,M,White,100,1,6,N,,
091118_4,1.02739726,F,White,100,1,3,N,,
091118_7,1.394520548,M,White,100,1,6,N,,
091118_8,1.430136986,M,White,75,2,4,N,,
091118_2,1.761643836,M,White,100,1,6,Y,,
091118_5,1.791780822,M,Asian,100,1,4,Y,,
091118_6,1.906849315,F,White,90-95,1,3,Y,,
091318_2,1.290410959,M,Asian,75,1,4,N,,
091318_1,2.580821918,M,American Indian,100,1,6,Y,,
091318_3,1.808219178,NA,Filipino/Caucasian,75,1,4,Y,wrong pairing of toys and video,
091818_1,1.638356164,F,White,100,1,4,N,,
091818_2,1.323287671,F,Asian,75,3,6,N,,
091818_3,1.350684932,M,Other,75,2,4,N,,
091818_4,1.126027397,M,White,100,1,6,N,,
091818_5,1.336986301,F,Other,50,3,6,Y,,
092018_4,1.334246575,F,White,100,1,4,N,,
092018_5,1.797260274,F,Asian/White,90-95,2,4,N,,
092018_6,1.980821918,F,"Mexican, Spanish, Basque, Yaqui",75,2,6,N,,
092018_1,1.830136986,M,Asian,90-95,2,6,Y,spoke in Korean during video,
092018_2,1.504109589,M,Asian,50,2,4,Y,language,
092018_3,1.893150685,F,Asian/White,90-95,2,5,Y,,
101118_1,1.383561644,F,White,25,3,Na,Y,language,
101218_1,1.780821918,F,Asian,100,1,4,N,,
101218_2,1.736986301,M,White,75,2,6,N,,
101218_3,1.473972603,M,Asian &White,100,1,4,N,,
101218_4,1.75890411,M,NA,100,1,NA,N,,
101218_5,1.728767123,M,Other,90-95,2,4,N,,
101218_6,1.805479452,F,Asian,100,2,6,N,,
101218_7,1.432876712,F,White,100,1,6,N,,
101118_3,1.523287671,M,White,25,2,6,Y,language,
101118_2,1.120547945,F,Middle Eastern,100,1,4,N,,
101118_4,1.687671233,F,Asian,90-95,2,6,N,,
101118_5,1.010958904,M,Asian,100,1,6,N,,
101718_1,1.347945205,M,White,100,1,4,N,,
101718_2,1.761643836,M,Puerto Rican,100,1,6,N,,
101818_1,1.320547945,M,White,100,1,6,N,,
101818_2,1.712328767,F,White,100,1,NA,N,,
101818_4,1.123287671,M,Hispanic,50,2,6,N,,
101818_5,1.326027397,F,White,90-95,1,NA,N,,
101818_3,1.35890411,F,Asian,25,4,6,Y,language,
101818_6,#VALUE!,NA,NA,NA,NA,NA,Y,interrupted,
101818_7,1.454794521,NA,NA,5,2,NA,Y,language,
102518_3,1.350684932,M,Mixed,100,2,4,N,sibling,
102518_4,1.326027397,M,Black,100,1,4,N,,
102518_5,1.104109589,F,White,75,3,6,N,,
102518_6,1.526027397,NA,NA,75,2,NA,N,,
102518_1,1.824657534,F,NA,50,3,4,Y,language,
102518_2,1.345205479,NA,NA,50,NA,NA,Y,language,
102618_1,1.594520548,F,White,90-95,2,6,N,,
102618_2,1.473972603,M,White,75,2,6,N,,
102618_5,1.150684932,F,NA,100,NA,NA,N,,
102618_3,1.019178082,F,NA,90-95,2,NA,Y,language,
102618_4,1.78630137,F,Other,50,4,6,Y,language,
102618_6,1.136986301,M,White,100,1,4,Y,intereference,
102818_1,1.624657534,F,White,100,1,NA,N,,
102818_2,1.961643836,M,Asian,75,3,NA,N,,
102818_3,1.816438356,F,Other,75,2,4,Y,language,
110218_1,1.821917808,F,White & South Indian,100,1,6,N,,
110218_2,1.517808219,F,White,100,1,6,N,,
110218_3,1.671232877,M,White,90-95,2,6,N,,
110218_4,1.167123288,F,White & Black or African American,100,1,3,N,,
110218_7,1.761643836,M,Asian,50,2,NA,N,,
110218_8,1.295890411,M,White,50,3,3,N,,
110218_9,1.736986301,M,Asian,75,3,6,N,,
110218_5,1.498630137,M,White,25,3,6,Y,language,
110218_6,1.076712329,M,White,5-10,3,6,Y,language,
110418_3,1.391780822,NA,NA,100,NA,NA,N,,
110418_4,1.808219178,M,Asian,90-95,2,4,N,,
110418_1,1.509589041,M,NA,25,2,2,Y,language,
110418_2,1.98630137,M,White,100,1,4,Y,sibling,
110418_5,1.495890411,F,White,75,2,6,Y,sibling,
110818_1,1.375342466,F,White,100,1,4,N,,
110818_2,1.723287671,M,NA,90-95,1,NA,N,,
110818_3,1.336986301,M,White,90-95,2,4,N,,
110818_5,1.843835616,M,Other,100,2,6,N,,
110818_6,1.893150685,F,White,100,1,3,N,,
110818_4,2.819178082,NA,NA,100,1,NA,Y,,
110918_2,1.602739726,F,Irish/ Indian,100,1,4,N,,
110918_3,1.495890411,M,Asian,90-95,2,6,N,,
110918_4,1.347945205,F,Mexican/Indian,75,3,6,N,,
110918_5,1.693150685,M,White,75,2,4,N,,
110918_6,1.424657534,M,NA,75,NA,NA,N,,
110918_1,1.073972603,F,White,50,2,5,Y,language,
110918_7,1.978082192,F,Iseaeli American,50,2,6,Y,language,
113018_1,1.334246575,M,White,100,NA,4,N,,
113018_2,1.81369863,M,White,90-95,2,4,N,,
113018_3,1.284931507,M,Asian,90-95,3,6,N,,
113018_4,1.295890411,F,White,100,2,3,N,,
022619_1,1.435616438,F,White,100,2,6,N,,
022619_2,1.780821918,M,Native Hawaiian or other pacific islander,90-95,2,4,N,,
022619_3,1.860273973,M,White,100,1,4,N,,
032219_1,1.547945205,M,White,100,1,6,N,,
