,sid,age,video,gender,parent_ed,condition,types,types2,tokens,tokens2,TTR,TTR2,MTLD,MTLD2
0,090618_6,0.322994128833333,Warneken,F,,con,125,125.0,245,245.0,0.510204081632653,0.5102040816326531,28.114282358468397,28.114282358468405
1,101118_4,0.172309197833334,color,F,6.0,exp,91,91.0,274,274.0,0.33211678832116803,0.33211678832116787,23.264527889172395,23.264527889172438
2,101118_5,-0.504403131166667,Feigenson,M,6.0,con,70,98.0,240,315.0,0.29166666666666696,0.3111111111111111,11.6021969399765,14.52492503748126
3,121317_1,-0.211252446166666,Hamlin,F,4.0,con,91,91.0,191,191.0,0.476439790575916,0.47643979057591623,22.6494657696874,22.649465769687374
4,101218_1,0.265459882833333,Lany,F,4.0,con,91,91.0,219,219.0,0.415525114155251,0.4155251141552511,14.8642533936652,14.864253393665159
5,113018_1,-0.18111546016666602,big or small,M,4.0,exp,76,76.0,299,299.0,0.254180602006689,0.25418060200668896,16.173976608187097,16.173976608187132
6,110218_4,-0.348238747166667,puzzle,F,3.0,exp,89,89.0,228,228.0,0.39035087719298206,0.39035087719298245,28.8772912423625,28.877291242362524
7,082918_1,-0.0386497061666666,puzzle,F,4.0,exp,122,122.0,313,313.0,0.38977635782747605,0.38977635782747605,37.278034292860106,37.27803429286006
8,110818_5,0.328473580833333,Lany,M,6.0,con,36,70.0,55,146.0,0.654545454545455,0.4794520547945205,17.6273199703044,14.919401041666667
9,083018_6,-0.0989236791666666,Hamlin,M,6.0,con,83,83.0,195,195.0,0.42564102564102596,0.4256410256410256,29.618024132729996,29.618024132730014
10,110918_2,0.0873776908333335,Adolph,F,4.0,con,57,117.0,96,244.0,0.59375,0.47950819672131145,30.837235437347804,46.9931718155792
11,110918_3,-0.0194716241666666,give_me_toy,M,6.0,exp,120,120.0,362,363.0,0.33149171270718203,0.3305785123966942,30.1666666666667,30.25
12,091118_8,-0.0852250491666666,Hamlin,M,4.0,con,101,101.0,223,223.0,0.45291479820627795,0.452914798206278,24.0222841225627,24.022284122562677
13,110218_8,-0.219471624166667,big or small,M,3.0,exp,79,79.0,346,346.0,0.22832369942196498,0.22832369942196531,10.5757575757576,10.575757575757576
14,090418_3,0.213405087833333,Lany,F,6.0,con,82,82.0,261,261.0,0.314176245210728,0.31417624521072796,14.4097451917187,14.40974519171873
15,090418_2,0.257240704833333,color,M,6.0,exp,92,92.0,275,275.0,0.33454545454545503,0.33454545454545453,34.608314479638,34.60831447963801
16,091818_1,0.12299412883333301,Adolph,F,4.0,con,106,106.0,226,226.0,0.46902654867256605,0.4690265486725664,22.512488101441104,22.512488101441086
17,102618_5,-0.364677103166666,give_me_toy,F,,exp,92,91.0,271,271.0,0.339483394833948,0.33579335793357934,20.4586856941508,20.45868569415081
18,110918_6,-0.0907045011666665,big or small,M,,exp,62,78.0,87,129.0,0.71264367816092,0.6046511627906976,51.2772988505747,38.5619997158149
19,091118_3,0.30381604683333396,Adolph,M,6.0,con,130,129.0,265,265.0,0.490566037735849,0.4867924528301887,38.3671941830624,38.367194183062445
20,102518_6,0.0106653618333334,color,,,exp,88,88.0,292,292.0,0.301369863013699,0.3013698630136986,20.2309523809524,20.23095238095238
21,083018_1,-0.38111546016666703,Hamlin,M,6.0,con,64,64.0,142,142.0,0.45070422535211296,0.4507042253521127,22.264612954186397,22.264612954186415
22,110918_5,0.177788649833333,Adolph,M,4.0,con,85,84.0,165,166.0,0.515151515151515,0.5060240963855421,20.75,18.555555555555557
23,110818_3,-0.17837573416666697,puzzle,M,4.0,exp,68,115.0,111,287.0,0.6126126126126129,0.40069686411149824,23.5015486725664,31.102400508710982
24,110918_4,-0.167416830166667,give_me_toy,F,6.0,exp,36,73.0,62,316.0,0.580645161290323,0.2310126582278481,10.1886428982174,10.869039423476021
25,092018_5,0.281898238833334,Adolph,F,4.0,con,105,104.0,194,194.0,0.5412371134020619,0.5360824742268041,30.178571428571402,28.71137640449438
26,092018_4,-0.18111546016666602,Feigenson,F,4.0,con,76,76.0,127,127.0,0.598425196850394,0.5984251968503937,21.3590909090909,21.35909090909091
27,101718_2,0.24628180083333304,color,M,6.0,exp,52,52.0,170,170.0,0.30588235294117605,0.3058823529411765,16.7543352601156,16.754335260115607
28,113018_2,0.298336594833333,Warneken,M,4.0,con,103,103.0,284,284.0,0.36267605633802796,0.3626760563380282,16.672574836822,16.67257483682197
29,111517_3,0.0764187868333335,big_small,F,4.0,exp,104,104.0,353,353.0,0.294617563739377,0.29461756373937675,29.144864746972605,29.14486474697258
30,111517_2,0.0462818008333334,give_me_toy,F,,exp,99,99.0,313,313.0,0.31629392971246,0.31629392971246006,20.458441999688002,20.458441999687956
31,022619_1,-0.0797455971666665,Feigenson,F,6.0,con,39,62.0,75,135.0,0.52,0.45925925925925926,7.7,9.041666666666668
32,102818_1,0.10929549883333302,color,F,,exp,52,52.0,155,155.0,0.335483870967742,0.33548387096774196,16.1237596471885,16.123759647188535
33,091118_4,-0.487964775166666,Gopnik,F,3.0,con,89,89.0,219,219.0,0.40639269406392703,0.4063926940639269,21.1215639810427,21.121563981042655
34,120117_2,-0.353718199166666,big or small,M,6.0,exp,74,73.0,211,211.0,0.35071090047393394,0.3459715639810427,13.9810960281549,13.981096028154852
35,102618_2,-0.0413894321666666,Gopnik,M,6.0,con,103,100.0,210,221.0,0.49047619047619,0.45248868778280543,18.807757764856,15.114698596201487
36,110218_9,0.22162426583333303,orchestra,M,6.0,exp,72,72.0,250,250.0,0.28800000000000003,0.288,19.3600462241873,19.360046224187307
37,090618_4,-0.279745597166666,Feigenson,M,6.0,con,54,54.0,98,100.0,0.551020408163265,0.54,10.272727272727302,9.583333333333334
38,101818_1,-0.19481409016666698,give_me_toy,M,6.0,exp,93,93.0,335,335.0,0.27761194029850705,0.27761194029850744,16.4612068965517,16.461206896551722
39,101118_2,-0.394814090166667,Feigenson,F,4.0,con,85,85.0,206,221.0,0.41262135922330107,0.38461538461538464,6.079861111111111,5.332267441860465
40,110818_2,0.207925635833333,Lany,M,,con,44,44.0,83,83.0,0.530120481927711,0.5301204819277109,12.5574433656958,12.557443365695793
41,101218_6,0.290117416833333,big_small,F,6.0,exp,53,53.0,251,251.0,0.21115537848605603,0.21115537848605578,12.8802631578947,12.880263157894738
42,101218_7,-0.0824853231666665,Gopnik,F,6.0,con,80,80.0,130,130.0,0.615384615384615,0.6153846153846154,26.726708074534198,26.72670807453416
43,112217_2,0.0243639918333334,big_small,F,5.0,exp,132,133.0,323,335.0,0.408668730650155,0.3970149253731343,31.4762784090909,29.820528068506185
44,110218_2,0.00244618383333339,orchestra,F,6.0,exp,109,109.0,229,229.0,0.47598253275109204,0.4759825327510917,28.625,28.625
45,110218_3,0.155870841833333,orchestra,M,6.0,exp,54,54.0,108,108.0,0.5,0.5,28.038461538461497,28.03846153846154
46,091818_3,-0.164677103166667,puzzle,M,4.0,exp,70,70.0,140,140.0,0.5,0.5,24.6601265822785,24.66012658227848
47,091818_2,-0.192074364166666,big or small,F,6.0,exp,68,67.0,176,176.0,0.38636363636363596,0.3806818181818182,23.318903318903303,23.077712233906126
48,113018_4,-0.219471624166667,puzzle,F,3.0,exp,81,81.0,191,191.0,0.424083769633508,0.42408376963350786,21.7262277951933,21.72622779519331
49,091118_1,-0.0715264191666665,Gopnik,M,6.0,con,128,128.0,296,299.0,0.432432432432432,0.4280936454849498,33.0870147255689,27.315499254843516
50,083018_4,0.0353228968333335,Warneken,M,4.0,con,55,55.0,118,118.0,0.466101694915254,0.4661016949152542,23.509567516188397,23.509567516188437
51,011118_1,0.0161448138333333,Lany,F,6.0,con,48,48.0,85,85.0,0.5647058823529411,0.5647058823529412,15.798741129061,15.798741129061018
52,102518_3,-0.164677103166667,Hamlin,M,4.0,con,126,126.0,318,318.0,0.39622641509434,0.39622641509433965,22.761016963571702,22.76101696357171
53,101218_2,0.22162426583333303,Adolph,M,6.0,con,93,93.0,194,194.0,0.479381443298969,0.4793814432989691,29.2012649524404,29.201264952440432
54,101218_3,-0.0413894321666666,Gopnik,M,4.0,con,105,105.0,237,237.0,0.44303797468354406,0.4430379746835443,17.2526196984758,17.25261969847581
55,110218_7,0.24628180083333304,orchestra,M,,exp,92,92.0,248,248.0,0.37096774193548404,0.3709677419354839,12.5223684210526,12.522368421052631
56,032219_1,0.0325831698333334,Warneken,M,6.0,con,74,74.0,127,127.0,0.582677165354331,0.5826771653543307,40.288321167883204,40.28832116788321
57,090518_1,0.202446183833333,Adolph,F,4.0,con,81,81.0,172,172.0,0.47093023255814,0.47093023255813954,20.3055555555556,20.305555555555557
