JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,13161,22386,"0","1","1",
1,23206,33661,"0","1","1",
2,33866,38335,"1","0","1",
3,39114,42189,"1","0","1",
4,42230,50061,"0","1","1",
5,50102,72611,"0","1","1",
6,72652,76137,"0","1","0",
7,79417,83107,"1","0","1",
8,83927,96965,"0","1","1",
9,97006,100409,"0","0","1",
10,102746,109511,"0","1","1",
11,110085,112709,"1","0","1",
12,126813,140999,"0","1","1",
13,158014,165025,"0","1","1",
