JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,0,918,"1","0","1",
1,2720,3264,"1","0","1",
2,5542,7480,"0","0","1",
3,10948,13634,"1","0","1",
4,16592,18394,"1","0","1",
5,20570,25874,"1","0","1",
6,30838,33864,"0","0","1",
7,37094,40120,"0","0","1",
8,40120,43146,"0","0","1",
9,62492,64226,"1","0","1",
10,64668,66742,"0","0","1",
11,69360,71026,"1","0","1",
12,71672,73270,"0","0","1",
13,74596,77622,"0","0","1",
14,83402,85884,"1","0","1",
15,96186,99212,"0","0","1",
16,102000,109106,"0","1","1",
17,118082,131920,"0","1","1",
18,132770,135728,"1","0","1",
19,138618,146064,"1","0","1",
20,146642,149668,"0","0","1",
21,150892,155414,"0","1","1",
22,157454,160480,"0","0","1",
23,160480,163914,"0","0","1",
24,167824,171190,"0","1","1",
25,171190,182682,"0","1","1",
